title,organisation,lat,lon,region
Clarke Valley,Growing Dialogue Ltd,-41.3496,172.6799,Nelson Marlborough
Neutze,,-43.5835,172.5988,Canterbury
"JS Trapping, Waipu Golf Club",Personally,-35.9455,174.4603,Northland
Ligar Bay,Private,-40.8261,172.9138,Nelson Marlborough
Remarkables Wye Creek - 5 Minute Bird Counts,Queenstown Climbing Club,-45.1095,168.8174,Otago
Predator Free Miramar - Backyard Trapping,Predator Free Miramar ,-41.3172,174.8225,Wellington
Lower Waikato River,Franklin Acclimatisation Society,-37.324,174.7827,Auckland
Pest Free Mangapai,Community group,-35.8576,174.3089,Northland
Taranaki Mahood-Lowe Reserve,NZ Native Forest Restoration Trust & Taranaki Regional Council,-39.2095,174.1101,Unknown
Save Our Kaweka Kiwi,DOC Hawkes Bay & ECOED,-39.2489,176.4402,Unknown
Dotterel Defenders Rahotu,Taranaki Conservationists Dotterel Defenders,-39.3378,173.7715,Unknown
Otago Peninsula Inlets,Yellow-eyed Penguin Trust,-45.8531,170.6763,Otago
Precipice Creek (Glenorchy),Precipice Creek,-44.8009,168.4037,Otago
Te Wairoa,North Taranaki Forest & Bird,-39.0826,174.2005,Unknown
Birkdale Salisbury Verbena Special Ecological Area Restoration ,Local landowners community group,-36.8008,174.7069,Auckland
Lindum Tce,,-41.2885,174.8011,Wellington
Opoutama Wetland,New Zealand Native Forest Restoration Trust,-39.0511,177.8476,East Coast
Huiroa Domain,,-39.2506,174.4646,Unknown
Whale Bay And Otito Reserve,Matapouri Kaitiaki Project,-35.5631,174.5082,Northland
Springlea Bush & Wetland,Family Trust,-40.8661,175.6472,Wellington
Whakamahi Lagoon Predator Control,Whakamahi Group,-39.0642,177.4026,East Coast
Predator Free Te Puke,Environment Te Puke,-37.787,176.3179,Waikato
Whisky Bay - Rocky Bay - Ki Uta Ki Tai Biodiversity Project,Whisky Bay Trust,-36.7205,175.4504,Auckland
Tairua Projects ,Pest Free Tairua,-37.0039,175.8472,Waikato
Claremont Bush - Timaru Predator Control,Volunteers,-44.4108,171.0836,West Coast
Tanekaha CPCA,,-35.5885,174.2094,Northland
Backyard Kiwi,Backyard Kiwi,-35.7882,174.5122,Northland
KNE Tom and Dons Bush,North Taranaki Forest and Bird,-39.192,173.9116,Unknown
Waitangi Forest,Martin Schmid ,-35.2488,173.9988,Northland
Winara Rat Pack,,-40.8723,175.0744,Wellington
Jack Bisset Wetland,Northland Fish and Game Council,-35.785,174.0596,Northland
Flaxmill Wetland ,Northland Fish and Game Council,-35.8915,173.8479,Northland
Craters of the Moon Trust,Craters of the Moon Trust,-38.6464,176.0693,Waikato
Waipu Spit,DoC,-36.0087,174.4913,Northland
